37.59764 15.1675 106.0 11:59:10
37.59757 15.16748 106.0 11:59:11
37.59751 15.16743 105.0 11:59:12
37.59746 15.16741 105.0 11:59:12
37.59734 15.16744 104.0 11:59:12
37.59726 15.16755 104.0 11:59:13
37.59725 15.16767 104.0 11:59:15
37.59724 15.16767 103.0 11:59:16
37.59727 15.16778 103.0 11:59:16
37.5973 15.16784 103.0 11:59:17
37.5974 15.1679 103.0 11:59:18
37.59751 15.16789 103.0 11:59:20
37.59756 15.16785 103.0 11:59:22
37.59762 15.16774 103.0 11:59:23
37.59763 15.1676 103.0 11:59:24
37.59757 15.16748 103.0 11:59:26
37.59751 15.16743 103.0 11:59:28
37.5974 15.16742 103.0 11:59:29
37.59731 15.16747 103.0 11:59:31
37.59725 15.16759 103.0 11:59:32
37.59714 15.16767 103.0 11:59:34
37.59705 15.16771 103.0 11:59:36
37.59678 15.16777 103.0 11:59:37
37.59653 15.16786 103.0 11:59:41
37.59562 15.16831 98.0 11:59:45
37.59505 15.16851 98.0 11:59:58
37.59473 15.16858 98.0 12:00:08
37.59419 15.16865 99.0 12:00:13
37.59269 15.16872 96.0 12:00:31
37.58563 15.16942 72.0 12:00:55
37.5846 15.16954 71.0 12:02:29
37.58408 15.16958 69.0 12:02:47
37.58365 15.16957 67.0 12:02:53
37.58341 15.16953 65.0 12:02:58
37.58286 15.1694 62.0 12:03:01
37.58269 15.16934 60.0 12:03:08
37.58249 15.16923 58.0 12:03:10
37.58 15.16812 41.0 12:03:12
37.57988 15.16797 40.0 12:03:47
37.57983 15.1679 39.0 12:03:49
37.57978 15.16786 39.0 12:03:49
37.57972 15.16785 38.0 12:03:50
37.57956 15.16791 38.0 12:03:50
37.57945 15.16792 38.0 12:03:53
37.57893 15.16778 38.0 12:03:55
37.57842 15.16768 37.0 12:04:04
37.57817 15.16768 37.0 12:04:12
37.57817 15.16768 37.0 12:04:16
37.57793 15.16771 36.0 12:04:16
37.57781 15.16771 35.0 12:04:19
37.57696 15.16762 31.0 12:04:20
37.5757 15.16753 28.0 12:04:31
37.57421 15.16735 23.0 12:04:51
37.57404 15.16726 22.0 12:05:10
37.572 15.16544 16.0 12:05:12
37.57188 15.16536 16.0 12:05:52
37.57156 15.16519 16.0 12:05:54
37.57054 15.1647 18.0 12:06:00
37.57053 15.1647 18.0 12:06:36
37.56947 15.16417 18.0 12:06:36
37.56862 15.16408 20.0 12:06:56
37.56839 15.16398 21.0 12:07:38
37.5674 15.16331 23.0 12:07:50
37.567 15.163 23.0 12:08:27
37.56687 15.16283 23.0 12:08:35
37.56676 15.16259 23.0 12:08:38
37.56626 15.16132 24.0 12:08:41
37.56626 15.16134 24.0 12:09:01
37.56626 15.16134 24.0 12:09:01
37.56626 15.16132 25.0 12:09:01
37.56613 15.16102 26.0 12:09:01
37.56592 15.16074 27.0 12:09:14
37.56575 15.16059 28.0 12:09:29
37.56557 15.16048 29.0 12:09:39
37.56538 15.16041 29.0 12:09:49
37.5652 15.16039 29.0 12:09:52
37.56504 15.16039 29.0 12:09:55
37.56433 15.16049 30.0 12:09:57
37.56406 15.16047 30.0 12:10:20
37.56391 15.16044 30.0 12:10:24
37.56378 15.1604 29.0 12:10:26
37.56346 15.16022 28.0 12:10:27
37.56237 15.1595 27.0 12:10:32
37.56222 15.15936 26.0 12:10:54
37.56215 15.15927 26.0 12:10:56
37.56203 15.15904 25.0 12:10:57
37.56196 15.15885 24.0 12:10:59
37.56184 15.1584 22.0 12:11:01
37.56184 15.15839 22.0 12:11:06
37.56172 15.15799 21.0 12:11:06
37.56161 15.15779 21.0 12:11:11
37.56141 15.15753 20.0 12:11:14
37.56071 15.15677 15.0 12:11:17
37.56059 15.15661 15.0 12:11:29
37.5605 15.15646 15.0 12:11:32
37.56042 15.15627 14.0 12:11:34
37.55889 15.1519 16.0 12:11:36
37.55889 15.15189 16.0 12:12:44
37.55877 15.15156 17.0 12:12:44
37.55873 15.15132 17.0 12:12:58
37.55869 15.1513 17.0 12:13:01
37.55865 15.15125 17.0 12:13:01
37.55765 15.14851 22.0 12:13:02
37.55744 15.14822 22.0 12:14:21
37.55669 15.14732 26.0 12:14:26
37.55655 15.14719 27.0 12:15:17
37.55649 15.14708 28.0 12:15:25
37.55645 15.14696 29.0 12:15:30
37.55643 15.14664 30.0 12:15:35
37.5564 15.14649 30.0 12:15:47
37.55629 15.14625 31.0 12:15:49
37.55606 15.14594 32.0 12:15:59
37.55576 15.1456 31.0 12:16:15
37.55505 15.14508 28.0 12:16:21
37.55495 15.145 28.0 12:16:31
37.55484 15.14494 27.0 12:16:33
37.55316 15.14512 27.0 12:16:34
37.55305 15.14544 27.0 12:17:04
37.55253 15.14516 28.0 12:17:09
37.5517 15.14748 20.0 12:17:27
37.55146 15.14732 19.0 12:17:53
37.55145 15.14732 19.0 12:17:56
37.55098 15.14697 21.0 12:17:56
37.55084 15.14683 22.0 12:18:23
37.55071 15.14668 22.0 12:18:31
37.55024 15.14588 19.0 12:18:34
37.54958 15.14493 15.0 12:18:44
37.54943 15.14475 15.0 12:18:57
37.5493 15.14465 15.0 12:19:00
37.54843 15.14419 16.0 12:19:02
37.54804 15.14404 16.0 12:19:19
37.54771 15.14395 15.0 12:19:26
37.54741 15.1439 14.0 12:19:31
37.54517 15.14369 12.0 12:19:35
37.54502 15.14364 12.0 12:20:15
37.54483 15.14352 11.0 12:20:17
37.54472 15.1434 11.0 12:20:19
37.54332 15.14113 11.0 12:20:21
37.5432 15.1409 12.0 12:21:02
37.54309 15.14065 12.0 12:21:12
37.54297 15.14032 12.0 12:21:16
37.5406 15.13256 21.0 12:21:21
37.54054 15.13242 21.0 12:25:00
37.54032 15.1321 22.0 12:25:02
37.54017 15.13196 23.0 12:25:18
